Annotator1	Annotator2	Annotator3	label	text clean	index
2	2	2	2	aveva appena fatto il vaccino anti influenzale  fonte certa link	A526
0	0	0	0	con i primi freddi arrivano anche i malanni stagionali: l'influenza, normalmente una malattia lieve, pu causare forme gravi in persone a rischio. per questo motivo  bene vaccinarsi ogni anno! link #influenza #vaccino link	A591
1	1	0	1	coronavirus: il legale, 'per vaccini licenze gratis o consorzi aziende-istituzioni': esistono esempi di tali vaccini coperti da brevetti validi sul territorio cinese, come il vaccino contro la poliomielite, il vaccino contro la malattia 'mani- ... link	A709
0	0	0	0	user fino al vaccino non vanno presi mezzi pubblici se ci si tiene a non finire intubati.	A80
1	1	1	1	se sospendono la serie a a tempo indeterminato 48 ore dopo lotito trova il vaccino	A1238
1	1	1	1	coronavirus, il ministro speranza: “firmato accordo per 400 milioni di dosi del candidato vaccino di oxford pomezia” link	A651
1	2	1	2	blondet:il progetto ue  di  vaccinazione totale – in italiano   link 27	A546
1	2	1	2	"""i casi di infezioni e decessi sono in aumento""  ""in toscana si  registrato il pi grande focolaio mai visto al mondo per quanto concerne il batterio new delhi""  per il new delhi non c' cura e non c' vaccino, quindi, non c' nessuna emergenza. link"	A24
1	0	1	1	"coronavirus, ""vaccino tra un anno, ci sarà vera e propria lotta"" link"	A616
1	1	2	1	"i medici hanno descritto quelli che credono siano i ""primi"" casi noti di meningite dovuti alla riattivazione del vaccino contro la varicella in due ragazzi di 14 anni.link link"	A877
2	2	2	2	"500 testimonianze di danno da vaccino... ""il danno nascosto"" #vaccini #stragedistato link"	A455
2	2	2	2	inizia tu a fare il vaccino.. barbara #noneladurso...io non lo faccio.	A969
4	5	0	0	perché tra i più razzist omofobi complottisti no vax e no mascherine ..sono immigrati  da noi rumeni,albanesi,in genere da paesi dell’est???	A1161
1	0	0	0	oggi ho avuto il piacere di intervenire ad una iniziativa di fondazione mondo digitale e msd italia sull'importanza della corretta comunicazione scientifica e sanitaria, con un focus sulla prevenzione vaccinale. #salutelazio #lovemyjob #vaccini #vax #novax link	A1127
